Startup_Name,Location,Industry
PHYSICA HEALTHTECH PRIVATE LIMITED,",Maharashtra",
LS ELECTRONIC AND PIPE FITTING,"Ahmedabad,Gujarat",Technology Hardware
NEUCURE LIFESCIENCES PRIVATE LIMITED,"Bhopal,Madhya Pradesh",Healthcare & Lifesciences
CarbonStrong,"Bengaluru Urban,Karnataka",Construction
DEVENDRA LAXMI HOMES PRIVATE LIMITED,"Patna,Bihar",Construction
"DEVGIRI FRUIT ""O"" FARM PRIVATE LIMITED",",Maharashtra",
MAA TEA CENTAR,"Sabarkantha,Gujarat",Food & Beverages
AICK CORPORATE ADVISORS LLP,",Uttar Pradesh",
iBeam Ventures LLP,"Kollam,Kerala",Professional & Commercial Services
Happybowl,"Mumbai,Maharashtra",Food & Beverages
MR OUTSOURCE SECURITY PRIVATE LIMITED,"South West Delhi,Delhi",Human Resources
PRASANNA MOTORS,"Kalyan-Dombivali,Maharashtra",Automotive
BLUE SPACE PROFESSIONALS PRIVATE LIMITED,"Jaipur,Rajasthan",IT Services
BAZARSHUKULAGRI FARMER PRODUCER COMPANY LIMITED,"Sultanpur,Uttar Pradesh",Agriculture
VIMS MULTI SPECIALITY HOSPITAL,"Junagadh,Gujarat",Healthcare & Lifesciences
YOUNOUS'S NEXT GEN ENGLISH CLASSES PRIVATE LIMITED,"Ganderbal,Jammu and Kashmir",Education
Recharga Chargine,"Jaipur,Rajasthan",Renewable Energy
B WELD PRIVATE LIMITED,"Jaipur,Rajasthan",Construction
Baba Ratenshwar Security and Services (OPC) Private Limited,"Godda,Jharkhand",Security Solutions
Ocean Horse,"Noida,Uttar Pradesh",Advertising
YGENR TECH SOLUTIONS PRIVATE LIMITED COMPANY,"Kozhikode,Kerala",Healthcare & Lifesciences
Expert Writers,"Neemuch,Madhya Pradesh",IT Services
Pratik media &amp; outdoor advertising,"Pune,Maharashtra",Advertising
INNSKILL TECHNOLOGIES PRIVATE LIMITED,",Telangana",
Rebirth Enterprises,"Thiruvananthapuram,Kerala",Healthcare & Lifesciences
BOOKBARB BUSINESS PRIVATE LIMITED,"Kannur,Kerala",IT Services
Viaana Corporation,"Pune,Maharashtra",IT Services
BLUINK FINTECH (OPC) PRIVATE LIMITED,",Tamil Nadu",
SHIPIT,"Mumbai,Maharashtra",Transportation & Storage
LOCA BEVERAGES,"Panchkula,Haryana",Food & Beverages
SANE AUDIO CABLE PRIVATE LIMITED,"Ghaziabad,Uttar Pradesh",Automotive
SAA TAXATION,"Pali,Rajasthan",Professional & Commercial Services
TALIM,"Thrissur,Kerala",Education
Artronics PVT LTD,"Anand,Gujarat",Design
Smart E-Bin,"Hyderabad,Telangana",Waste Management
ZAYOLU ONE PRIVATE LIMITED,"Gurugram,Haryana",Food & Beverages
Burly Polymerus LLP,"Kottayam,Kerala",Healthcare & Lifesciences
ASPIRE HEALTH AND MEDICARE PRIVATE LIMITED,"Hyderabad,Telangana",Healthcare & Lifesciences
PATHERIA PRIVATE LIMITED,"Indore,Madhya Pradesh",Construction
SCRIPFOX TECHNOLOGIES PRIVATE LIMITED,"Gurugram,Haryana",Telecommunication & Networking
SHASYA SARATHI FARMERS PRODUCER COMPANY LIMITED,"Jhargram,West Bengal",Agriculture
GEEKYPI IT SERVICES PRIVATE LIMITED,"Chennai,Tamil Nadu",IT Services
FERGOATIVE AUTOMATION AND INDUSTRIES PRIVATE LIMITED,"Kanchipuram,Tamil Nadu",Automotive
ZEALOUS ENDEAVOUR PRIVATE LIMITED,"Ernakulam,Kerala",Robotics
Silvista India Pvt. Ltd,"Ahmedabad,Gujarat",Fashion
KML Tech Consultancy,"Bengaluru,Karnataka",IT Services
LEGALSTANLEY CONSULTANTS PRIVATE LIMITED,",Kerala",
JODHPUR ACADEMY PRIVATE LIMITED,"Ajmer,Rajasthan",Education
VENSA TECHNOLOGIES LLP,"Thane,Maharashtra",Human Resources
CASA REPOSE,"Bengaluru,Karnataka",Finance Technology
ARPIT JAIN,"Guwahati,Assam",Professional & Commercial Services
OPSNETIC PRIVATE LIMITED,"Pune,Maharashtra",IT Services
ANIRUDH RAJGARHIA,"Gurugram,Haryana",
INDUS AI PRIVATE LIMITED,"Gautam Buddha Nagar,Uttar Pradesh",Analytics
RUDRAVEER ELECTROMECH PROJECTS PRIVATE LIMITED,"Ahmedabad,Gujarat",Renewable Energy
Eleedom IMF Private Limited,"Patna,Bihar",Marketing
NUTRICAL PROTEINS INDIA PRIVATE LIMITED,"Anand,Gujarat",Agriculture
SHAIKH PETROLEUM PRIVATE LIMITED,"Vadodara,Gujarat",Non- Renewable Energy
GETRAISE PRIVATE LIMITED,"Jaipur,Rajasthan",IT Services
ADEROMANS INDUSTRIES PRIVATE LIMITED,"Aurangabad,Maharashtra",Other Specialty Retailers
ZOOMMAAX TECHNOLOGY PRIVATE LIMITED,"Chennai,Tamil Nadu",Finance Technology
leinarc projects private limited,"Bhubaneswar,Odisha",Architecture Interior Design
VIRTUALPAD PRIVATE LIMITED,"Gautam Buddha Nagar,Uttar Pradesh",Education
REVOEDUBOOK SERVICES PRIVATE LIMITED,"Firozpur,Punjab",Education
NEVON SOLUTIONS PRIVATE LIMITED,",Maharashtra",
Ramya and associates,"Hyderabad,Telangana",Finance Technology
D.K. BALAJI ENTERPRISES,"Lucknow,Uttar Pradesh",Automotive
AMAZON RIVULET,"Ernakulam,Kerala",Agriculture
airtaque,"Kannur,Kerala",Non- Renewable Energy
Unicom Futuristic Private Limited,"Amritsar,Punjab",Media & Entertainment
Nivesh.AI,"Thane,Maharashtra",Finance Technology
Awadh ganga minral water plant,"Kanpur,Uttar Pradesh",Food & Beverages
Neural Intelisys OPC Private Limited,"Noida,Uttar Pradesh",Professional & Commercial Services
Pescora Design (OPC) Private Limited,"Mumbai,Maharashtra",Architecture Interior Design
BIPMAN WORKS PRIVATE LIMITED,",Bihar",
PONAHARI ENTERPRISES PRIVATE LIMITED,"North East Delhi,Delhi",Human Resources
Core Fragrances,"North West Delhi,Delhi",Fashion
Vintage India Services,"East Delhi,Delhi",Human Resources
WRITTI HEALTH RESEARCH AND DEVELOPMENT OBSERVATORY LLP,"Ajmer,Rajasthan",Healthcare & Lifesciences
Domseed Marketing Private Limited,"Hyderabad,Telangana",Marketing
Enhance Gourmet Foods Pvt. Ltd.,"Pune,Maharashtra",Food & Beverages
MAN SINGH,"Ajmer,Rajasthan",
Bucephalus Ecovestment LLP,"Chennai,Tamil Nadu",Construction
KAPPA COFFEE PRIVATE LIMITED,"Ghaziabad,Uttar Pradesh",Food & Beverages
SHANTVANA CHILD DEVELOPMENT CENTER,"Ahmedabad,Gujarat",Healthcare & Lifesciences
AFFILIATE ENGINEERS PRIVATE LIMITED,"Junagadh,Gujarat",Technology Hardware
Shidul Industries,"Shimla,Himachal Pradesh",Animation
Monk Consultancy,"Mumbai,Maharashtra",IT Services
TY PREFAB PRIVATE LIMITED,"Jaipur,Rajasthan",Construction
Mac n Roy Realtors &amp; Developers,"Pune,Maharashtra",Real Estate
Eliea Wellness,"Guwahati,Assam",Healthcare & Lifesciences
Digipromoters,"Gautam Buddha Nagar,Uttar Pradesh",IT Services
NASEEM INSTITUTE OF PARAMEDICAL COUNCIL,"Aurangabad,Maharashtra",Education
AACHU M LOGISTICS OF INDIA LLP,"Ahmedabad,Gujarat",Transportation & Storage
NANDAS BEAUTIFYING SPACES PRIVATE LIMITED,"Mumbai,Maharashtra",Art & Photography
MGP CHEMPLY EXPORT PRIVATE LIMITED,"Ahmedabad,Gujarat",Other Specialty Retailers
ECOREL FLEXIPACK PRIVATE LIMITED,"Jodhpur,Rajasthan",Other Specialty Retailers
Abstrabit Technologies,"Bengaluru,Karnataka",IT Services
C V LASER INDIA PVT LTD.,"Bengaluru,Karnataka",Healthcare & Lifesciences
PpURESAP FOOD AND AGRO PRIVATE LIMITED,"Ahmedabad,Gujarat",Food & Beverages
NIC-NEXT INDIA CORPORATION LLP,"Ahmedabad,Gujarat",Healthcare & Lifesciences
SD YALI ROCK TOOLS LLP,"Hyderabad,Telangana",Technology Hardware
PHIGITAL CARE PRIVATE LIMITED,",Karnataka",
Box Game Studio,"Miryalaguda,Telangana",Media & Entertainment
MANAS CNG TECHNOLOGY,"Nashik,Maharashtra",Automotive
Elite,"Raigad,Maharashtra",Events
KINEUTKAL PRIVATE LIMITED,",Odisha",
XED EXECUTIVE DEVELOPMENT PRIVATE LIMITED,",Maharashtra",
NMS PETROCHEM PRIVATE LIMITED,"Ahmedabad,Gujarat",Professional & Commercial Services
BlueRanger Info-Sec,"Bhadohi,Uttar Pradesh",Education
ASK HOMES &amp; INFRA,"Hyderabad,Telangana",Real Estate
TECHNOSYS LABS PRIVATE LIMITED,"Ghaziabad,Uttar Pradesh",IT Services
NAMMALIDAM HOTELS AND RESORTS PRIVATE LIMITED,"Ernakulam,Kerala",Food & Beverages
TINYCROWS PRIVATE LIMITED,"Kota,Rajasthan",IT Services
TEJANGA HEALTHCARE PRIVATE LIMITED,"Sangli,Maharashtra",Healthcare & Lifesciences
ADFARM AGRITECH (OPC) PRIVATE LIMITED,"Khordha,Odisha",Agriculture
ALIFEROUS PMCS LLP,"Allahabad,Uttar Pradesh",Professional & Commercial Services
INNOVANA IMPEX,"Ahmedabad,Gujarat",Advertising
TCUBEAI TECHNOLOGIES PRIVATE LIMITED,"Hyderabad,Telangana",IT Services
PROTIGENIX LIFE SCIENCES PRIVATE LIMITED,",Andhra Pradesh",
Pediapulse Health Services Private Limited,"Bengaluru,Karnataka",Healthcare & Lifesciences
EL-FARO VENTURE PRIVATE LIMITED,"Ahmedabad,Gujarat",Professional & Commercial Services
UTKRISHT DIGITAL (OPC) PRIVATE LIMITED,"Cuttack,Odisha",IT Services
Aren AI Innovations Private Limited,"Hyderabad,Telangana",AI
Future Technologies,"East Delhi,Delhi",IT Services
Urbanwallah,"Coimbatore,Tamil Nadu",Retail
Torquev Technologies pvt ltd,"Kolkata,West Bengal",Toys and Games
Echo-heat,"Ballari,Karnataka",Green Technology
KALEIDEO SPACE SYSTEMS PRIVATE LIMITED,"Bengaluru,Karnataka",Aeronautics Aerospace & Defence
SHIVANI POLY PLAST,"Solan,Himachal Pradesh",Healthcare & Lifesciences
zero matter tech,"Hyderabad,Telangana",Automotive
CRELT PRIVATE LIMITED,"Mumbai,Maharashtra",Enterprise Software
RIZEBAR SOLUTIONS PRIVATE LIMITED,"Gurugram,Haryana",Healthcare & Lifesciences
DAV FASHION PRIVATE LIMITED,"Mumbai,Maharashtra",Fashion
VISMED HEALTHCARE PRIVATE LIMITED,",Madhya Pradesh",
SRIGAJANANYA SILKS PRIVATE LIMITED,"Salem,Tamil Nadu",Textiles & Apparel
SUSPROD RENEWABLE PRODUCTS PRIVATE LIMITED,",Tamil Nadu",
Drag Mart,"Gurugram,Haryana",Retail
BIZFIXERS,"Jammu,Jammu and Kashmir",Retail
UVISTA TECHNOLOGIES PRIVATE LIMITED,"Coimbatore,Tamil Nadu",Technology Hardware
INDIAN ROUTE,"Gurugram,Haryana",Retail
Hrang Home And Fashion,"Jaipur,Rajasthan",Textiles & Apparel
ENVIGENIC PRIVATE LIMITED,"Chennai,Tamil Nadu",Green Technology
K.SISTERS BEAUTY &amp;amp; PERSONAL HYGIENE PRIVATE LIMITED,"Surat,Gujarat",Other Specialty Retailers
KHIZAR OCEAN LOGISTICS PRIVATE LIMITED,"Port Blair,Andaman and Nicobar Islands",Travel & Tourism
SHIV FLYASH BRICKS AND BLOCKS,"Bilaspur,Chhattisgarh",Waste Management
Partyplace,"Hugli-Chinsurah,West Bengal",Food & Beverages
TIRUMALA DIGITAL,"Khordha,Odisha",Retail
ASSHFABTECH INDUSTRIES PRIVATE LIMITED,"Pune,Maharashtra",Automotive
D-WORLD,"Coimbatore,Tamil Nadu",Professional & Commercial Services
Core Web Networks,"North West Delhi,Delhi",IT Services
PRIME AUTOMOTIVE MANUFACTURING,"Tiruppur,Tamil Nadu",Automotive
Jers Cloud Kitchen Private Limited,"Coimbatore,Tamil Nadu",Food & Beverages
DHARANI GEOTECH ENGINEERS INDIA PRIVATE LIMITED,"Namakkal,Tamil Nadu",Construction
GM HARDWARES,"Solan,Himachal Pradesh",Technology Hardware
VEDIKAGRI PRIVATE LIMITED,"Surat,Gujarat",Agriculture
BLUE DECIMAL TECHNOLOGIES PRIVATE LIMITED,"Hyderabad,Telangana",Enterprise Software
DELIGHT FOOD PRODUCTS,"Dindigul,Tamil Nadu",Food & Beverages
WYOMING GLOBAL RESEARCH WORLD (OPC) PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Analytics
g h Enterprises,"Basti,Uttar Pradesh",Food & Beverages
DREAMZ VISION CREATIVE GEEKS PRIVATE LIMITED,",Maharashtra",
BIMEDGE PRIVATE LIMITED,",Odisha",
GJSEVEN TECH PRIVATE LIMITED,"Nadiad,Gujarat",Healthcare & Lifesciences
DA DA,"Vellore,Tamil Nadu",Healthcare & Lifesciences
Stifoo,"Shimla,Himachal Pradesh",Food & Beverages
The Xiting Way,"Rajpura,Punjab",IT Services
AYU HEALTH ALLIED SERVICES PRIVATE LIMITED,"Chennai,Tamil Nadu",Healthcare & Lifesciences
Adriverd Private Limited,"West Delhi,Delhi",IT Services
PrintProxy - A product from RonLi.io,"Bengaluru,Karnataka",Safety
BKG Associates Pvt. Ltd.,"Kolkata,West Bengal",Agriculture
E-GINIE INFOTECH LLP,",Delhi",
Sahyog Business Clinic LLP,"Ahmedabad,Gujarat",Design
ASSIGNMENT HUB RESEARCH PRIVATE LIMITED,"Baran,Rajasthan",Education
Quave Hospitality,"Mumbai,Maharashtra",Travel & Tourism
Cococraft Green Ventures Private Limited,"Indore,Madhya Pradesh",Waste Management
FUDTEKEY SOLUTIONS LLP,"Thane,Maharashtra",Food & Beverages
GOSeeds,"Navi Mumbai,Maharashtra",Food & Beverages
ANATOPAI PRIVATE LIMITED,"Maldah,West Bengal",IT Services
Goga ji travels,"Delhi,Delhi",Travel & Tourism
H &amp;amp; S MEN'S CUSTOMISED MEN'S WEAR,"Chandigarh,Chandigarh",Textiles & Apparel
NPAY TECHNOLOGIES PRIVATE LIMITED,"North West Delhi,Delhi",Finance Technology
INDO GLOBE EDUCATION SERVICES PRIVATE LIMITED,"Chitradurga,Karnataka",Education
GREENEARTH CORPORATION,"Amravati,Maharashtra",Healthcare & Lifesciences
M/S HILLOCK ENGINEERS,"Navi Mumbai,Maharashtra",Construction
JCR AGRO LLP,"Ahmedabad,Gujarat",Agriculture
Aadwan Youth Foundation,"Bhadohi,Uttar Pradesh",Social Impact
DADA MALDEY PRIVATE LIMITED,"Rohtak,Haryana",Analytics
AIRSHARP,"Kanpur Nagar,Uttar Pradesh",Retail
AUSHADHAM VED SCIENCE PRIVATE LIMITED,"Ahmedabad,Gujarat",House-Hold Services
Uniglad Private limited,"Faridabad,Haryana",Renewable Energy
JEC EDUCARE ACADEMY (OPC) PRIVATE LIMITED,"Gulbarga,Karnataka",Education
TECTRA SERVE PRIVATE LIMITED,"Chennai,Tamil Nadu",Healthcare & Lifesciences
KULFI MASTERS,"Bathinda,Punjab",Food & Beverages
DIGITALGOAL,"Meerut,Uttar Pradesh",Marketing
MINIDREAMS LLP,",Tamil Nadu",
TK VELOCITY WHEELS PRIVATE LIMITED,"Chennai,Tamil Nadu",Automotive
TERRAIN SECURE LLP,",Punjab",
S N ELECTRA MOTORS,"Chennai,Tamil Nadu",Automotive
laxmi diary farm,"Rajgarh,Madhya Pradesh",Agriculture
AMARA HEALTH (OPC) PRIVATE LIMITED,",Maharashtra",
EXADATUM SOFTWARE SERVICES PRIVATE LIMITED,",Maharashtra",
Xed Executive Development Pvt. Ltd.,"Mumbai,Maharashtra",Education
VERITAS HEALTH SCIENCE PRIVATE LIMITED,"Navsari,Gujarat",Healthcare & Lifesciences
SHUBHAM MISHRA,"New Delhi,Delhi",
PALATHINGAL HERBAL INDUSTRIES PRIVATE LIMITED,"Ernakulam,Kerala",Food & Beverages
GAURANSH INTERNATIONAL CRAFTED PRIVATE LIMITED,"West Delhi,Delhi",Other Specialty Retailers
K D INFOCOM PRIVATE LIMITED,",Gujarat",
EXAMEN FORMA PRIVATE LIMITED,"Rajkot,Gujarat",Automotive
DAY AC COOLER,"Mumbai Suburban,Maharashtra",Green Technology
JMDLS CNG TESTING PLANT PRIVATE LIMITED,"Ranchi,Jharkhand",Professional & Commercial Services
MAULANA AZAD MODERN COUNCIL,"Aurangabad,Maharashtra",Education
CKVK ENTERPRISES PRIVATE LIMITED,"Jabalpur,Madhya Pradesh",Human Resources
VIITO CAMPUS PRIVATE LIMITED,"Chennai,Tamil Nadu",Education
INDIGLOO SOFTWARES PRIVATE LIMITED,"Mumbai,Maharashtra",IT Services
"Targe Electrical, Jalna","Jalna,Maharashtra",Renewable Energy
DREGAL I PRIVATE LIMITED,"Dakshina Kannada,Karnataka",IT Services
FARMERETTE HEALTH FOODS PRIVATE LIMITED,"Madurai,Tamil Nadu",Food & Beverages
ECOOPEX CONSULTANCY LLP,"Beed,Maharashtra",IT Services
ALIVO CLEAN TECHSOLUTIONS PRIVATE LIMITED,"Mumbai,Maharashtra",House-Hold Services
SPROFUES PRIVATE LIMITED,"Vasai-Virar,Maharashtra",Green Technology
Homestaying.in,"North 24 Parganas,West Bengal",Travel & Tourism
SQUADRONE TECHNOLOGIES LLP,",Karnataka",
AgriX Seeds Private Limited,"Gandhinagar,Gujarat",Agriculture
iCart Technologies,"Mangaluru,Karnataka",Other Specialty Retailers
Farmint,"Bhubaneswar,Odisha",Enterprise Software
Plastom Enterprises LLP,"Ernakulam,Kerala",Waste Management
Srujan post natal care,"Bengaluru,Karnataka",Healthcare & Lifesciences
CHESS64,"Bengaluru Urban,Karnataka",Sports
VENTURA LEARNING TECHNOLOGIES LLP,"Pune,Maharashtra",Education
PDI CREATORS HUB PRIVATE LIMITED,"Noida,Uttar Pradesh",Art & Photography
JYOTI ENTERPRISES,"Jabalpur,Madhya Pradesh",Human Resources
REALONE REAL ESTATE PROPTECH PRIVATE LIMITED,"Navi Mumbai,Maharashtra",Real Estate
CRONYISM PRIVATE LIMITED,"Vijayawada,Andhra Pradesh",IT Services
AVINYA THALLY PROJECTS PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Real Estate
SY Associates,"Ghaziabad,Uttar Pradesh",IT Services
Saurabh Kumar Dubey,"Kaimur (Bhabua),Bihar",
RATHORE CABLE AND O F C NETWORKS PRIVATELIMITED,",Rajasthan",
BRAINTECH ACADEMY EDUCATIONAL MANAGEMENT PRIVATE,"Korba,Chhattisgarh",Education
Palsiddha Cotton Products,"Mehkar,Maharashtra",Healthcare & Lifesciences
IcyHot.live,"Gurugram,Haryana",Media & Entertainment
SANKALP LEARNING SOLUTIONS LLP,"Bengaluru Urban,Karnataka",Education
IEEMO ELECTRIC PRIVATE LIMITED,"Bengaluru,Karnataka",Automotive
Social Status,"Lalsot,Rajasthan",Social Network
Natural Stona,"Rewari,Haryana",Construction
TERRAIN SECURE LLP,"Ludhiana,Punjab",Retail
Optigon Ventures Private Limited,"Chennai,Tamil Nadu",Enterprise Software
Sarang Clicks,"Navi Mumbai,Maharashtra",Art & Photography
Physica,"Mumbai,Maharashtra",Healthcare & Lifesciences
RELAXPLZZ TECHNOLOGIES,"Thiruvananthapuram,Kerala",IT Services
THERMOG KLIMA TECHNOLOGIE PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Non- Renewable Energy
BIC INTERCERT PRIVATE LIMITED,"South Delhi,Delhi",Professional & Commercial Services
BRIDGR INNOVATIONS PRIVATE LIMITED,"Ernakulam,Kerala",Green Technology
YELLOWBLOOM FASHION AND APPAREL LLP,"Bengaluru,Karnataka",Fashion
SKEWDECK PRIVATE LIMITED,"Cuttack,Odisha",Fashion
CHARA TECHNOLOGIES,"Chennai,Tamil Nadu",Automotive
NAITIK GREEN ENVIRO SOLUTIONS,"Meerut,Uttar Pradesh",Waste Management
Tenali Rama Animation Private Limited,"Bengaluru,Karnataka",Animation
GALAXY ECOENERGY PRIVATE LIMITED,"Rajkot,Gujarat",Renewable Energy
HOLD,"Bengaluru,Karnataka",Social Network
R K ENTERPRISES,"Belagavi,Karnataka",Food & Beverages
MECLE GREEN,"Panchmahal,Gujarat",Green Technology
ANATTA  INNOVATIONS,"Chitradurga,Karnataka",AI
IDINASO ALLIENCE PRIVATE LIMITED,"Kolkata,West Bengal",Professional & Commercial Services
VIUS ACCOUNTING,"Ludhiana,Punjab",Professional & Commercial Services
4Run Life,"Gurugram,Haryana",Education
DIBRA SOLUTIONS PRIVATE LIMITED,"Chennai,Tamil Nadu",Waste Management
Silky Singh,"Bengaluru Urban,Karnataka",Biotechnology
Enigcation,"Belagavi,Karnataka",Professional & Commercial Services
Mor water plant,"Jind,Haryana",Food & Beverages
RUSH BEAUTY MAKEUP &amp; SKINCARE LLP,"Pune,Maharashtra",Fashion
Sugar and Chilli International,"Delhi,Delhi",Food & Beverages
SLKP MULTI SERVICES PRIVATE LIMITED,"Purba Medinipur,West Bengal",Human Resources
AG MEDTECH SOLUTIONS PRIVATE LIMITED,"East Godavari,Andhra Pradesh",Healthcare & Lifesciences
ICLONIS TECH SOLUTIONS,"Bengaluru,Karnataka",IT Services
SMARTECH AUTOMATIONS LLP,"Gandhinagar,Gujarat",Technology Hardware
BAJATO LIGHTS LLP,"North Delhi,Delhi",Other Specialty Retailers
HYGGEX DIGITAL SERVICES PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Education
Anayara Security &amp;amp; Manpower Services,"Allahabad,Uttar Pradesh",Human Resources
Brainowls Technologies Pvt Ltd,"Bhopal,Madhya Pradesh",Enterprise Software
AGGRESS RENEWABLE ENERGY SOLUTION PRIVATE LIMITED,"Pune,Maharashtra",Green Technology
M/S T.J.I ENTERPRISE,"Kamrup,Assam",Construction
Devbhoomi suvidha kendra,"Rudrapur,Uttarakhand",Chemicals
SARVAM INFRATECH PRIVATE LIMITED,"Rajkot,Gujarat",Construction
MS INFRATECH SOLUTIONS PRIVATE LIMITED,"East Singhbhum,Jharkhand",IT Services
PAPERRABBIT SOLUTIONS PRIVATE LIMITED,",Karnataka",
KAMAL FOODS PRIVATE LIMITED,"Rajnandgaon,Chhattisgarh",Food & Beverages
MANATI MENTAL HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,"Bhubaneswar,Odisha",Healthcare & Lifesciences
Musa kraftz,"Srinagar,Jammu and Kashmir",Fashion
STAIRS TRADING PRIVATE LIMITED,"Tiruchirappalli,Tamil Nadu",Retail
A S Tamra Udyog LLP,"Rewari,Haryana",Automotive
BHUMI SHREE CONSTRUCTION (OPC) PRIVATE LIMITED,"Bokaro,Jharkhand",Construction
TOY FACTORUM PRIVATE LIMITED,",Tamil Nadu",
MEETNOTES PRIVATE LIMITED,"Mumbai,Maharashtra",AI
JAYCHANDI MATA BIO FUEL PRIVATE LIMITED,"Baleswar,Odisha",Renewable Energy
BRANDROCKET SOLUTIONS,"South Delhi,Delhi",Advertising
Devi Enterprises (DeviEstore),"Ahmedabad,Gujarat",Internet of Things
Sankara Rao Private Limited,"Medchal Malkajgiri,Telangana",Technology Hardware
shree padma Agritech,",Gujarat",
Sapientia Cloud Solutions,"Kothagudem,Telangana",AI
NetSense CyberSecurity Pvt. Ltd.,"Belagavi,Karnataka",Security Solutions
Aimeron,"Kollam,Kerala",IT Services
PETHABIT TECHNOLOGIES PRIVATE LIMITED,"Bengaluru,Karnataka",Pets & Animals
BLACKDOBBY,"Bengaluru Urban,Karnataka",Textiles & Apparel
ODISSY INNOVATIVES PRIVATE LIMITED,",Odisha",
testing,"Baksa,Assam",Analytics
COMPUTHINK INDIA PRIVATE LIMITED,"Bengaluru,Karnataka",IT Services
Bangle Wangle,"Jaipur,Rajasthan",Fashion
Why Digit System Private Limited,"Bengaluru Urban,Karnataka",IT Services
VALIANT,"Chennai,Tamil Nadu",Fashion
Skill Swap,"Mumbai,Maharashtra",Social Network
ALTBREW COFFEEWORKS PRIVATE LIMITED,",Maharashtra",
POWER OF YOUTHS,"Belagavi,Karnataka",Education
LYCORIS ADS &amp; SOFTWARE SOLUTIONS PRIVATE LIMITED,"East Godavari,Andhra Pradesh",Agriculture
Lvk edits,"Gobichettipalayam,Tamil Nadu",Advertising
FEE-WAY PHARMACEUTICALS PRIVATE LIMITED,"Bareilly,Uttar Pradesh",Chemicals
GREEN GLOBAL AGROCEUTICALS PRIVATE LIMITED,"Vadodara,Gujarat",Agriculture
Goradia Safety Products Pvt.Ltd,"Mumbai,Maharashtra",Automotive
UNIQUE INDUSTRIES,"Kalyan-Dombivali,Maharashtra",Other Specialty Retailers
Stay whizzy,"Bengaluru Urban,Karnataka",Finance Technology
M/s CM &amp; M Associates,"Kolkata,West Bengal",Education
SOLARIS AGRITECH PRIVATE LIMITED,"Ahmedabad,Gujarat",Professional & Commercial Services
ANORALUX INDUSTRIES PRIVATE LIMITED,"Mumbai,Maharashtra",Technology Hardware
ALT Xperiences Private Limited,"Bengaluru Urban,Karnataka",Travel & Tourism
ENDOCHOICE MEDITECH TECHNOLOGY PRIVATE LIMITED,"Patna,Bihar",Healthcare & Lifesciences
UNIQUE CENTREQUIPO PRIVATE LIMITED,"Ranga Reddy,Telangana",Automotive
SWASTISHRI AUTO CRIMP TECHNOLOGIES PRIVATE LIMITED,"Pune,Maharashtra",Technology Hardware
SANU SECURITY AND MANPOWER SERVICES (OPC) PRIVATE LIMITED,"Jabalpur,Madhya Pradesh",Security Solutions
RAMADHIRAJ POWER SYSTEMS PRIVATE LIMITED,"Ghaziabad,Uttar Pradesh",Safety
M/S DAILY NEEDS KART,"Dehradun,Uttarakhand",Retail
KB Industries,"Tiruchirappalli,Tamil Nadu",Renewable Energy
MS  DAMARA CONSTRUCTION COMPANY,"Jind,Haryana",Construction
MEDLORD INC,"Jaipur,Rajasthan",Healthcare & Lifesciences
KumKriti,"Ahmedabad,Gujarat",Textiles & Apparel
INCTRA COMMUNICATION PRIVATE LIMITED,",Haryana",
UTF INNOVATIONS PRIVATE LIMITED,"Ernakulam,Kerala",IT Services
Relinq,"Madurai,Tamil Nadu",IT Services
RAMPART SECURE GUARD PRIVATE LIMITED,",Bihar",
NoFuss Foodworks,"Gurugram,Haryana",Food & Beverages
TaxPro,"Thiruvananthapuram,Kerala",Finance Technology
Craftcart,"Ujjain,Madhya Pradesh",Art & Photography
Jolly Holidays,"Srinagar,Jammu and Kashmir",Travel & Tourism
RockLobster Games Private Limited,"Pune,Maharashtra",Toys and Games
Xpuls,"Hyderabad,Telangana",Enterprise Software
NimbusOne Technologies Private Limited,"Coimbatore,Tamil Nadu",Enterprise Software
BuildSuite,"Kozhikode,Kerala",Enterprise Software
Zed Capitals,"Roorkee,Uttarakhand",Finance Technology
Organic Tap,"Bengaluru,Karnataka",Agriculture
PADMANABH INNOVATIONS LLP,",Rajasthan",
Koraj Crafts,"Chhota Udepur,Gujarat",Waste Management
KAFFA KUWWA INNOVATIONS PVT. LTD.,"Kolkata,West Bengal",Green Technology
R.M. ENTERPRISES,"Mumbai,Maharashtra",Technology Hardware
OCHRE SPIRITS PRIVATE LIMITED,"North Goa,Goa",Food & Beverages
JaboCabs,"Kolkata,West Bengal",Transportation & Storage
SONSHIV INDUSTRIES PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Green Technology
Totelligence,"Rayachoti,Andhra Pradesh",Education
Qtrino Labs Private Limited,"Patna,Bihar",Technology Hardware
medamax,"Bengaluru,Karnataka",Healthcare & Lifesciences
Richford Allianz Private Limited,"Kolkata,West Bengal",Automotive
PAHAL ENTERPRISES,"Lucknow,Uttar Pradesh",Professional & Commercial Services
Gallery Fashion,"Cuttack,Odisha",Retail
CPM ENGINEERING PRIVATE LIMITED,"Pune,Maharashtra",IT Services
